author,author_association,state,comments,pull_request,created_at,updated_at,closed_at,body,url,repo
thomasp85,MEMBER,open,0,https://github.com/tidyverse/ggplot2/pull/4818,2022-04-26T11:11:46Z,2022-04-27T07:42:55Z,list(),"Fix #4817 

This is a very minor release, only done to remove a call to a base function that was deprecated in R 4.2",https://github.com/tidyverse/ggplot2/pull/4818,ggplot2
thomasp85,MEMBER,closed,0,https://github.com/tidyverse/ggplot2/pull/4816,2022-04-26T08:23:01Z,2022-04-26T08:23:45Z,2022-04-26T08:23:45Z,Reapplying #4750 to 3.3.6 patch release,https://github.com/tidyverse/ggplot2/pull/4816,ggplot2
yutannihilation,MEMBER,closed,2,https://github.com/tidyverse/ggplot2/pull/4812,2022-04-23T16:12:54Z,2022-04-26T12:09:53Z,2022-04-26T12:09:50Z,"(This pull request is not intended to be merged, just to test if the CI runs well even after the release of R 4.2. But we can merge this if we want the CI to be fixed immediately.)

It seems RSPM is not ready for R 4.2 for Windows.",https://github.com/tidyverse/ggplot2/pull/4812,ggplot2
92amartins,NONE,closed,4,https://github.com/tidyverse/ggplot2/pull/4809,2022-04-21T18:14:45Z,2022-04-27T09:14:49Z,2022-04-25T13:40:38Z,"This PR is an attempt to fix #4792.

I tried to follow the @yutannihilation guidelines on the original issue.

Couldn't figure it out how to include proper snaps.

Further guidance is greatly appreciated",https://github.com/tidyverse/ggplot2/pull/4809,ggplot2
hadley,MEMBER,closed,0,https://github.com/tidyverse/ggplot2/pull/4806,2022-04-20T11:48:07Z,2022-04-20T14:34:00Z,2022-04-20T14:33:36Z,Only needed for a single doc link? And requires RcppEigen which is having install problems.,https://github.com/tidyverse/ggplot2/pull/4806,ggplot2
benyamindsmith,NONE,open,1,https://github.com/tidyverse/ggplot2/pull/4803,2022-04-19T18:17:54Z,2022-04-19T18:41:59Z,list(),list(),https://github.com/tidyverse/ggplot2/pull/4803,ggplot2
lionel-,MEMBER,closed,0,https://github.com/tidyverse/ggplot2/pull/4802,2022-04-19T11:52:00Z,2022-04-19T12:30:58Z,2022-04-19T12:29:07Z,"Closes #2675.

This implements custom handling of the `!!!` operator inside the `x` and `y` arguments of `aes()`. This is temporary until rlang supports this.",https://github.com/tidyverse/ggplot2/pull/4802,ggplot2
billybarc,CONTRIBUTOR,closed,1,https://github.com/tidyverse/ggplot2/pull/4800,2022-04-14T16:29:37Z,2022-04-19T09:33:22Z,2022-04-19T09:33:19Z,Closes #4797,https://github.com/tidyverse/ggplot2/pull/4800,ggplot2
krlmlr,MEMBER,open,0,https://github.com/tidyverse/ggplot2/pull/4799,2022-04-10T06:36:09Z,2022-04-10T06:36:09Z,list(),Closes #4705.,https://github.com/tidyverse/ggplot2/pull/4799,ggplot2
thomasp85,MEMBER,open,1,https://github.com/tidyverse/ggplot2/pull/4796,2022-04-07T12:37:16Z,2022-04-26T08:43:57Z,list(),"This PR updates all user messaging to use the cli framework for proper formating. This PR is almost a direct translation from the old behaviour, but it does include a few refactors to make the code simpler where possible, using e.g. the auto collapsing feature of cli.

The changes has led to a few failing tests. These tests have been updated to use the new `expect_snapshot_*()` functions to better handle messages with formating.

This PR will be followed an additional PR looking into better error message chaining to let users know where errors occurred during rendering",https://github.com/tidyverse/ggplot2/pull/4796,ggplot2
hadley,MEMBER,closed,1,https://github.com/tidyverse/ggplot2/pull/4791,2022-04-01T13:25:31Z,2022-04-19T20:25:15Z,2022-04-19T20:25:15Z,list(),https://github.com/tidyverse/ggplot2/pull/4791,ggplot2
